Name,Party,Election,Politician ID,Riding ID,Province,Gender,ranfor44,reelected44,QuestionPeriod,PvtMemBills,StatementsByMembers,Backbencher,DOB,AgeOnElectionDay,YearsServedAtElection
Pam Damoff,Liberal Party of Canada,43,10399,35073,ON,F,Yes,Yes,8,0,10,1,,,5.926027397
Michael McLeod,Liberal Party of Canada,43,10410,61001,NT,M,Yes,Yes,9,0,2,1,1959-09-06,62,5.926027397
Richard Cannings,New Democratic Party,43,10418,59029,BC,M,Yes,Yes,19,0,3,1,1954-03-31,67,5.926027397
Garnett Genuis,Conservative Party of Canada,43,10426,48032,AB,M,Yes,Yes,50,1,6,0,1987-01-23,34,5.926027397
Mel Arnold,Conservative Party of Canada,43,10435,59020,BC,M,Yes,Yes,6,0,4,0,1958-01-01,63,5.926027397
Bill Blair,Liberal Party of Canada,43,10439,35098,ON,M,Yes,Yes,227,0,0,0,1954-04-09,67,5.926027397
Ken Hardie,Liberal Party of Canada,43,10447,59012,BC,M,Yes,Yes,3,0,8,1,1947-01-01,74,5.926027397
Kamal Khera,Liberal Party of Canada,43,10450,35012,ON,F,Yes,Yes,3,0,4,1,1989-02-04,32,5.926027397
Marilyn Gladu,Conservative Party of Canada,43,10459,35091,ON,F,Yes,Yes,21,1,6,0,1962-01-01,59,5.926027397
Shaun Chen,Liberal Party of Canada,43,10463,35096,ON,M,Yes,Yes,1,0,2,1,1980-09-18,41,5.926027397
Gary Anandasangaree,Liberal Party of Canada,43,10468,35097,ON,M,Yes,Yes,20,0,9,1,,,5.926027397
Salma Zahid,Liberal Party of Canada,43,10475,35094,ON,F,Yes,Yes,9,0,1,1,1970-05-26,51,5.926027397
Alistair MacGregor,New Democratic Party,43,10483,59010,BC,M,Yes,Yes,14,5,1,1,1979-05-04,42,5.926027397
Carla Qualtrough,Liberal Party of Canada,43,10497,59011,BC,F,Yes,Yes,97,0,0,0,1971-10-15,49,5.926027397
François-Philippe Champagne,Liberal Party of Canada,43,10510,24070,QC,M,Yes,Yes,117,0,0,0,1970-06-25,51,5.926027397
Marc Miller,Liberal Party of Canada,43,10523,24077,QC,M,Yes,Yes,90,0,0,0,1973-03-12,48,5.926027397
Peter Schiefke,Liberal Party of Canada,43,10531,24074,QC,M,Yes,Yes,48,0,9,1,1979-04-13,42,5.926027397
Michel Boudrias,Bloc Québécois,43,10533,24075,QC,M,Yes,No,1,0,1,1,01-Jan-77,44,5.926027397
Leona Alleslev,Conservative Party of Canada,43,10542,35003,ON,F,Yes,No,101,0,2,0,1968-03-16,53,5.926027397
John Brassard,Conservative Party of Canada,43,10554,35004,ON,M,Yes,Yes,25,0,12,0,1964-05-11,57,5.926027397
Nathaniel Erskine-Smith,Liberal Party of Canada,43,10557,35007,ON,M,Yes,Yes,2,2,1,1,1984-06-15,37,5.926027397
Neil Ellis,Liberal Party of Canada,43,10562,35006,ON,M,Yes,No,15,0,1,1,01-Jan-61,60,5.926027397
Ramesh Sangha,Liberal Party of Canada,43,10572,35008,ON,M,No,.,9,0,3,1,1945-06-06,76,5.926027397
Glen Motz,Conservative Party of Canada,43,10582,48027,AB,M,Yes,Yes,25,0,3,0,1958-01-01,63,4.909589041
Bob Benzen,Conservative Party of Canada,43,10588,48007,AB,M,Yes,Yes,2,0,2,0,1959-03-03,62,4.468493151
Stephanie Kusie,Conservative Party of Canada,43,10593,48008,AB,F,Yes,Yes,40,0,7,0,01-Jan-73,48,4.468493151
Mary Ng,Liberal Party of Canada,43,10596,35055,ON,F,Yes,Yes,106,0,0,1,1969-12-16,51,4.468493151
Mona Fortier,Liberal Party of Canada,43,10601,35078,ON,F,Yes,Yes,46,0,0,0,01-Jan-72,49,4.468493151
Emmanuella Lambropoulos,Liberal Party of Canada,43,10604,24068,QC,F,Yes,Yes,10,1,4,1,1990-09-12,31,4.468493151
Dane Lloyd,Conservative Party of Canada,43,10607,48033,AB,M,Yes,Yes,9,1,2,0,1991-02-16,30,3.912328767
Churence Rogers,Liberal Party of Canada,43,10616,10002,NL,M,Yes,Yes,5,0,2,1,1953-06-03,68,3.778082192
Jean Yip,Liberal Party of Canada,43,10619,35093,ON,F,Yes,Yes,12,0,2,1,1968-01-01,53,3.778082192
Rosemarie Falk,Conservative Party of Canada,43,10624,47001,SK,F,Yes,Yes,18,0,9,0,1988-01-01,33,3.778082192
Richard Martel,Conservative Party of Canada,43,10628,24022,QC,M,Yes,Yes,131,0,6,0,1961-03-23,60,3.260273973
Michael Barrett,Conservative Party of Canada,43,10631,35050,ON,M,Yes,Yes,86,0,8,0,01-Jan-84,37,2.8
Scot Davidson,Conservative Party of Canada,43,10649,35119,ON,M,Yes,Yes,8,1,4,1,,,2.569863014
Tako Van Popta,Conservative Party of Canada,43,10660,59016,BC,M,Yes,Yes,10,0,4,1,1953-05-29,68,1.917808219
Chris d'Entremont,Conservative Party of Canada,43,10669,12011,NS,M,Yes,Yes,34,0,6,0,1969-10-31,51,1.917808219
Soraya Martinez Ferrada,Liberal Party of Canada,43,10679,24028,QC,F,Yes,Yes,18,0,12,1,1972-08-28,49,1.917808219
Dave Epp,Conservative Party of Canada,43,10797,35017,ON,M,Yes,Yes,12,0,3,0,1962-06-10,59,1.917808219
Jenica Atwin,Green Party of Canada,43,10798,13003,NB,F,Yes,Yes,23,1,5,1,1987-01-10,34,1.917808219
Sameer Zuberi,Liberal Party of Canada,43,10878,24056,QC,M,Yes,Yes,3,0,5,1,1979-08-01,42,1.917808219
Tamara Jansen,Conservative Party of Canada,43,10906,59007,BC,F,Yes,No,9,0,4,0,1967-01-01,54,1.917808219
Laurel Collins,New Democratic Party,43,10914,59041,BC,F,Yes,Yes,23,0,6,1,1984-05-07,37,1.917808219
Raquel Dancho,Conservative Party of Canada,43,10936,46006,MB,F,Yes,Yes,52,0,3,0,1990-04-16,31,1.917808219
Tracy Gray,Conservative Party of Canada,43,10943,59014,BC,F,Yes,Yes,55,0,6,0,1969-01-01,52,1.917808219
Yvan Baker,Liberal Party of Canada,43,10962,35027,ON,M,Yes,Yes,10,1,3,1,1977-12-08,43,1.917808219
Chris Lewis,Conservative Party of Canada,43,10968,35026,ON,M,Yes,Yes,13,0,3,0,1979-06-15,42,1.917808219
Lianne Rood,Conservative Party of Canada,43,11011,35048,ON,F,Yes,Yes,37,0,5,0,1979-01-01,42,1.917808219
Eric Melillo,Conservative Party of Canada,43,11036,35042,ON,M,Yes,Yes,20,0,7,0,1998-03-27,23,1.917808219
Jag Sahota,Conservative Party of Canada,43,11049,48013,AB,F,Yes,No,20,1,4,0,1978-01-01,43,1.917808219
Martin Champoux,Bloc Québécois,43,11064,24025,QC,M,Yes,Yes,16,0,5,1,1968-05-03,53,1.917808219
Caroline Desbiens,Bloc Québécois,43,11092,24020,QC,F,Yes,Yes,4,0,2,1,1963-01-01,58,1.917808219
Dan Mazier,Conservative Party of Canada,43,11113,46004,MB,M,Yes,Yes,15,1,4,0,1963-01-01,58,1.917808219
Jaime Battiste,Liberal Party of Canada,43,11119,12010,NS,M,Yes,Yes,14,0,4,1,1979-01-01,42,1.917808219
Derek Sloan,Conservative Party of Canada,43,11136,35039,ON,M,Yes,No,11,0,2,0,1984-11-11,36,1.917808219
Matthew Green,New Democratic Party,43,11179,35035,ON,M,Yes,Yes,19,0,7,1,1980-09-10,41,1.917808219
Adam van Koeverden,Liberal Party of Canada,43,11211,35057,ON,M,Yes,Yes,7,0,9,1,1982-01-29,39,1.917808219
Helena Jaczek,Liberal Party of Canada,43,11213,35054,ON,F,Yes,Yes,9,1,4,1,1950-11-05,70,1.917808219
Lindsay Mathyssen,New Democratic Party,43,11235,35051,ON,F,Yes,Yes,45,3,6,1,1978-01-01,43,1.917808219
Brad Redekopp,Conservative Party of Canada,43,11243,47012,SK,M,Yes,Yes,8,0,3,1,1964-01-01,57,1.917808219
Corey Tochor,Conservative Party of Canada,43,11248,47011,SK,M,Yes,Yes,4,0,2,0,1976-01-01,45,1.917808219
Damien Kurek,Conservative Party of Canada,43,11265,48002,AB,M,Yes,Yes,18,0,3,0,1989-11-28,31,1.917808219
Greg McLean,Conservative Party of Canada,43,11274,48004,AB,M,Yes,Yes,24,2,4,0,,,1.917808219
Jasraj Singh Hallan,Conservative Party of Canada,43,11282,48006,AB,M,Yes,Yes,22,1,5,0,,,1.917808219
Alain Therrien,Bloc Québécois,43,11301,24034,QC,M,Yes,Yes,123,1,7,1,1966-07-06,55,1.917808219
Alexis Brunelle-Duceppe,Bloc Québécois,43,11304,24035,QC,M,Yes,Yes,26,1,6,1,1979-07-01,42,1.917808219
Mario Simard,Bloc Québécois,43,11311,24032,QC,M,Yes,Yes,22,1,0,1,,,1.917808219
Kody Blois,Liberal Party of Canada,43,11329,12007,NS,M,Yes,Yes,4,0,6,1,1991-01-17,30,1.917808219
Lenore Zann,Liberal Party of Canada,43,11354,12003,NS,F,Yes,No,9,1,4,1,1959-11-22,61,1.917808219
Marie-Hélène Gaudreau,Bloc Québécois,43,11358,24038,QC,F,Yes,Yes,11,0,5,1,1976-11-24,44,1.917808219
Steven Guilbeault,Liberal Party of Canada,43,11364,24039,QC,M,Yes,Yes,132,0,0,0,1970-06-09,51,1.917808219
Han Dong,Liberal Party of Canada,43,11382,35020,ON,M,Yes,Yes,5,0,2,1,1977-01-01,44,1.917808219
Tony Van Bynen,Liberal Party of Canada,43,11438,35065,ON,M,Yes,Yes,11,0,7,1,1950-04-05,71,1.917808219
Heather McPherson,New Democratic Party,43,11452,48019,AB,F,Yes,Yes,35,2,5,1,1972-05-09,49,1.917808219
Warren Steinley,Conservative Party of Canada,43,11482,47007,SK,M,Yes,Yes,28,0,1,0,1982-04-27,39,1.917808219
Jeremy Patzer,Conservative Party of Canada,43,11495,47002,SK,M,Yes,Yes,17,0,4,0,1987-03-26,34,1.917808219
Gary Vidal,Conservative Party of Canada,43,11499,47003,SK,M,Yes,Yes,23,0,5,0,1965-01-01,56,1.917808219
Sébastien Lemire,Bloc Québécois,43,11506,24002,QC,M,Yes,Yes,18,0,4,1,,,1.917808219
Sylvie Bérubé,Bloc Québécois,43,11509,24001,QC,F,Yes,Yes,6,1,5,1,1959-01-01,62,1.917808219
Richard Lehoux,Conservative Party of Canada,43,11522,24007,QC,M,Yes,Yes,34,0,4,0,1956-01-01,65,1.917808219
Kristina Michaud,Bloc Québécois,43,11527,24006,QC,F,Yes,Yes,48,1,5,1,1993-02-01,28,1.917808219
Julie Vignola,Bloc Québécois,43,11548,24008,QC,F,Yes,Yes,42,1,1,1,1977-01-01,44,1.917808219
Ryan Turnbull,Liberal Party of Canada,43,11586,35114,ON,M,Yes,Yes,6,0,3,1,1977-07-15,44,1.917808219
Alex Ruff,Conservative Party of Canada,43,11633,35014,ON,M,Yes,Yes,13,0,10,0,1974-01-01,47,1.917808219
Leah Gazan,New Democratic Party,43,11678,46011,MB,F,Yes,Yes,35,1,8,1,1971-01-01,50,1.917808219
Marty Morantz,Conservative Party of Canada,43,11685,46002,MB,M,Yes,Yes,22,1,5,0,1962-04-07,59,1.917808219
Maxime Blanchette-Joncas,Bloc Québécois,43,11688,24018,QC,M,Yes,Yes,9,2,4,1,1989-08-15,32,1.917808219
Lyne Bessette,Liberal Party of Canada,43,11709,24016,QC,F,No,.,16,0,6,1,1975-03-10,46,1.917808219
Yves-François Blanchet,Bloc Québécois,43,11730,24011,QC,M,Yes,Yes,196,0,9,1,1965-04-14,56,1.917808219
Louise Chabot,Bloc Québécois,43,11741,24013,QC,F,Yes,Yes,18,0,8,1,1955-01-01,66,1.917808219
Eric Duncan,Conservative Party of Canada,43,11780,35102,ON,M,Yes,Yes,12,1,3,0,1987-11-10,33,1.917808219
Marcus Powlowski,Liberal Party of Canada,43,11796,35105,ON,M,Yes,Yes,2,0,3,1,1960-01-20,61,1.917808219
Gerald Soroka,Conservative Party of Canada,43,11824,48034,AB,M,Yes,Yes,17,0,3,0,,,1.917808219
Mike Kelloway,Liberal Party of Canada,43,11877,12001,NS,M,Yes,Yes,10,0,5,1,1970-09-09,51,1.917808219
Patricia Lattanzio,Liberal Party of Canada,43,11904,24069,QC,F,Yes,Yes,19,0,4,1,,,1.917808219
Scott Aitchison,Conservative Party of Canada,43,11913,35082,ON,M,Yes,Yes,7,0,1,0,1973-01-14,48,1.917808219
Mumilaaq Qaqqaq,New Democratic Party,43,11917,62001,NU,F,No,.,8,1,5,1,1993-11-04,27,1.917808219
Luc Desilets,Bloc Québécois,43,11936,24062,QC,M,Yes,Yes,11,0,5,1,1959-02-09,62,1.917808219
Christine Normandin,Bloc Québécois,43,11954,24067,QC,F,Yes,Yes,99,0,3,1,1984-04-30,37,1.917808219
Simon-Pierre Savard-Tremblay,Bloc Québécois,43,11959,24066,QC,M,Yes,Yes,26,0,4,1,1988-05-11,33,1.917808219
Marie-France Lalonde,Liberal Party of Canada,43,11973,35076,ON,F,Yes,Yes,20,0,14,1,1971-01-01,50,1.917808219
Philip Lawrence,Conservative Party of Canada,43,11987,35071,ON,M,Yes,Yes,19,1,3,0,,,1.917808219
Anita Anand,Liberal Party of Canada,43,11992,35072,ON,F,Yes,Yes,144,0,0,0,1967-05-20,54,1.917808219
Patrick Weiler,Liberal Party of Canada,43,12022,59042,BC,M,Yes,Yes,12,0,8,1,1986-04-30,35,1.917808219
Taylor Bachrach,New Democratic Party,43,12032,59028,BC,M,Yes,Yes,25,1,3,1,1978-01-01,43,1.917808219
Terry Dowdall,Conservative Party of Canada,43,12052,35099,ON,M,Yes,Yes,3,0,3,0,1964-01-01,57,1.917808219
Annie Koutrakis,Liberal Party of Canada,43,12110,24078,QC,F,Yes,Yes,19,1,5,1,1960-11-22,60,1.917808219
Andréanne Larouche,Bloc Québécois,43,12125,24072,QC,F,Yes,Yes,47,0,9,1,1982-09-07,39,1.917808219
Élisabeth Brière,Liberal Party of Canada,43,12129,24073,QC,F,Yes,Yes,12,0,10,1,1968-01-01,53,1.917808219
Louise Charbonneau,Bloc Québécois,43,12146,24076,QC,F,No,.,2,0,2,1,1951-01-31,70,1.917808219
Doug Shipley,Conservative Party of Canada,43,12195,35005,ON,M,Yes,Yes,10,0,2,0,1966-06-10,55,1.917808219
Maninder Sidhu,Liberal Party of Canada,43,12210,35009,ON,M,Yes,Yes,5,0,3,1,1984-04-26,37,1.917808219
Nelly Shin,Conservative Party of Canada,43,12222,59023,BC,F,Yes,No,13,0,6,0,1971-01-01,50,1.917808219
Rob Morrison,Conservative Party of Canada,43,12228,59015,BC,M,Yes,Yes,10,0,4,0,1956-05-03,65,1.917808219
Marci Ien,Liberal Party of Canada,43,12231,35108,ON,F,Yes,Yes,4,0,2,1,1969-07-29,52,0.901369863
Ya'ara Saks,Liberal Party of Canada,43,12234,35118,ON,F,Yes,Yes,8,0,2,1,1973-03-09,48,0.901369863
